Estado,Títulos,Volumen extraído (m3/a)
Sonora,202,107867891.3
Zacatecas,98,55781044
Michoacán,9,44387033.36
Chihuahua,79,34249726
Coahuila,76,32533757
Durango,29,32187060
Veracruz,39,22899913.52
Nuevo León,102,22124726
Colima,25,12019242.5
San Luis Potosí,56,10098206.6
Guerrero,23,8703900.8
Hidalgo,31,8374906.75
Tamaulipas,14,8163501
Guanajuato,31,6272758.2
Puebla,22,6233448
Tabasco,8,4454014
México,29,3439602
Jalisco,36,2775879
Baja California,5,2484759
Quintana Roo,17,1644168.6
Baja California Sur,6,1619199
Sinaloa,8,1481613.7
Oaxaca,6,1291894.72
Yucatán,39,1208703.63
Tlaxcala,7,950697
Morelos,5,904858.6
Querétaro,5,781080
Nayarit,6,589740
Distrito Federal,5,474119
Chiapas,10,388060.4
Campeche,7,215648.24
Aguascalientes,1,42136
Total general,1036,436643287.92
